ID;Name;Year;E-Score-1;S-Score-1;G-Score-1;TRYear
2;1st Source Corp;2017;8,578125;15,44878472;17,58223824;9,609035834
3;2U Inc;2016;10,84976526;10,57746479;20,99243323;14,62714615
3;2U Inc;2017;11,69330855;10,6105948;24,42708775;84,16373451
4;3D Systems Corp;2016;5,357142857;7,209821429;18,72151335;57,21808724
4;3D Systems Corp;2017;6,440677966;4,351694915;16,28189911;-25,32879968
5;3M Co;2008;27,29310345;28,49137931;27,02120536;-26,56245103
5;3M Co;2009;28,69444444;30,47916667;25,5786385;44,74168192
5;3M Co;2010;30,15;29,63125;23,79661458;6,145978055
5;3M Co;2011;30,89361702;30,81382979;26,67831814;0,517721582
5;3M Co;2012;30,79591837;31,71428571;26,04692308;15,71225675
5;3M Co;2013;30,75;33,0625;23,76828012;44,77115267
5;3M Co;2014;30;32,60294118;24,05050761;20,35554507
5;3M Co;2015;30,53846154;31,74038462;25,77202202;-8,051554337
5;3M Co;2016;30,75;31,78240741;22,23783383;19,23432873
5;3M Co;2017;30,62727273;32,57727273;24,29111912;30,5924537
6;8x8 Inc;2017;5,358490566;9,064465409;9,027342094;4,714533462
7;A Schulman Inc;2017;4,466850829;3,802486188;13,59198813;20,49740218
8;A. O. Smith Corp;2016;7,349173554;17,61466942;11,64940653;23,09469651
8;A. O. Smith Corp;2017;12,04347826;19,26992754;15,04133107;30,42965609
